planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,sumMatched,nameMatched,ambiguous,orphan,multiSum,inferred,inheritedSub,headcount,comboMatched
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","2000","業務費","2021","其他業務租金","用途別二級","2000","2.參與籌辦國內外學術、生技醫藥科技展覽，推廣生醫相關法規或環境建置成果等業務及相關會議，計列5,000千元（其他業務租金2,000千元、委辦費3,000千元）。","2","","","true","","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","2000","業務費","2027","保險費","用途別二級","400","1.辦理衛生福利科技發展與管理業務及相關會議等所需行政費用，計列12,500千元（含資本門150千元）（教育訓練費100千元、通訊費320千元、資訊服務費40千元、保險費400千元、按日按件計資酬金3,000千元、委辦費6,400千元、物品240千元、一般事務費1,200千元、車輛及辦公器具養護費100千元、國內旅費400千元、運費50千元、短程車資100千元、資訊軟硬體設備費100千元、雜項設備費50千元）。","1","true","","true","","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","2000","業務費","2036","按日按件計資酬金","用途別二級","3000","1.辦理衛生福利科技發展與管理業務及相關會議等所需行政費用，計列12,500千元（含資本門150千元）（教育訓練費100千元、通訊費320千元、資訊服務費40千元、保險費400千元、按日按件計資酬金3,000千元、委辦費6,400千元、物品240千元、一般事務費1,200千元、車輛及辦公器具養護費100千元、國內旅費400千元、運費50千元、短程車資100千元、資訊軟硬體設備費100千元、雜項設備費50千元）。","1","true","","true","","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","2000","業務費","2039","委辦費","用途別二級","9400","1.辦理衛生福利科技發展與管理業務及相關會議等所需行政費用，計列12,500千元（含資本門150千元）（教育訓練費100千元、通訊費320千元、資訊服務費40千元、保險費400千元、按日按件計資酬金3,000千元、委辦費6,400千元、物品240千元、一般事務費1,200千元、車輛及辦公器具養護費100千元、國內旅費400千元、運費50千元、短程車資100千元、資訊軟硬體設備費100千元、雜項設備費50千元）。","1","true","true","","","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","2000","業務費","2051","物品","用途別二級","240","1.辦理衛生福利科技發展與管理業務及相關會議等所需行政費用，計列12,500千元（含資本門150千元）（教育訓練費100千元、通訊費320千元、資訊服務費40千元、保險費400千元、按日按件計資酬金3,000千元、委辦費6,400千元、物品240千元、一般事務費1,200千元、車輛及辦公器具養護費100千元、國內旅費400千元、運費50千元、短程車資100千元、資訊軟硬體設備費100千元、雜項設備費50千元）。","1","true","","","","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","2000","業務費","2054","一般事務費","用途別二級","1200","1.辦理衛生福利科技發展與管理業務及相關會議等所需行政費用，計列12,500千元（含資本門150千元）（教育訓練費100千元、通訊費320千元、資訊服務費40千元、保險費400千元、按日按件計資酬金3,000千元、委辦費6,400千元、物品240千元、一般事務費1,200千元、車輛及辦公器具養護費100千元、國內旅費400千元、運費50千元、短程車資100千元、資訊軟硬體設備費100千元、雜項設備費50千元）。","1","true","","","","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","2000","業務費","2066","器具養護費","用途別二級","100","1.辦理衛生福利科技發展與管理業務及相關會議等所需行政費用，計列12,500千元（含資本門150千元）（教育訓練費100千元、通訊費320千元、資訊服務費40千元、保險費400千元、按日按件計資酬金3,000千元、委辦費6,400千元、物品240千元、一般事務費1,200千元、車輛及辦公器具養護費100千元、國內旅費400千元、運費50千元、短程車資100千元、資訊軟硬體設備費100千元、雜項設備費50千元）。","1","true","","true","","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","2000","業務費","2072","國內旅費","用途別二級","400","1.辦理衛生福利科技發展與管理業務及相關會議等所需行政費用，計列12,500千元（含資本門150千元）（教育訓練費100千元、通訊費320千元、資訊服務費40千元、保險費400千元、按日按件計資酬金3,000千元、委辦費6,400千元、物品240千元、一般事務費1,200千元、車輛及辦公器具養護費100千元、國內旅費400千元、運費50千元、短程車資100千元、資訊軟硬體設備費100千元、雜項設備費50千元）。","1","true","","true","","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","2000","業務費","2078","國外旅費","用途別二級","1100","3.參加BIO2026北美生技展及2026年行政院生技產業策略諮議委員會海外場預備會議（pre－BTC），計列621千元；2026歐洲、北美、紐澳及亞太地區數位健康及精準醫療展會，計列479千元，合共1,100千元（國外旅費）。","3","","","true","","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","2000","業務費","2081","運費","用途別二級","50","1.辦理衛生福利科技發展與管理業務及相關會議等所需行政費用，計列12,500千元（含資本門150千元）（教育訓練費100千元、通訊費320千元、資訊服務費40千元、保險費400千元、按日按件計資酬金3,000千元、委辦費6,400千元、物品240千元、一般事務費1,200千元、車輛及辦公器具養護費100千元、國內旅費400千元、運費50千元、短程車資100千元、資訊軟硬體設備費100千元、雜項設備費50千元）。","1","true","","true","","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","2000","業務費","2084","短程車資","用途別二級","100","1.辦理衛生福利科技發展與管理業務及相關會議等所需行政費用，計列12,500千元（含資本門150千元）（教育訓練費100千元、通訊費320千元、資訊服務費40千元、保險費400千元、按日按件計資酬金3,000千元、委辦費6,400千元、物品240千元、一般事務費1,200千元、車輛及辦公器具養護費100千元、國內旅費400千元、運費50千元、短程車資100千元、資訊軟硬體設備費100千元、雜項設備費50千元）。","1","true","","true","","","","","","",""
