planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,nameMatched,inheritedSub
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2033","約用人員酬金","用途別二級","878","(8)約用人員酬金878千元：約聘僱1人所需待遇、勞保及獎金等。","8","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2036","按日按件計資酬金","用途別二級","1502","(9)按日按件計資酬金1,502千元：公共工程施工查核、性別平等、法規等案件外聘委員出席費、書面審查費等。","9","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2045","國內組織會費","用途別二級","40","(10)國內組織會費40千元：參加國內各學術團體等年費。","10","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2051","物品","用途別二級","3020","(11)物品3,020千元：消耗品、非消耗品及油料等。","11","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2054","一般事務費","用途別二級","49562","(12)一般事務費49,562千元：<1>辦理檔案分類整理、掃描暨文書處理、公務車駕駛人力、本部經管國有土地房舍及勞保補償金收回委請律師訴訟等經費17,863千元。<2>辦公大樓機電中央監控設備管理、環境清潔及本部暨五城大樓保全等經費22,415千元。<3>員工健康檢查及文康活動費等2,655千元(含員工協助方案經費498千元)。<4>交通動員、災害防救、公共安全、消防檢查申報、國會聯絡、一般行政管理工作之開會、印刷及交通施政宣導等經費6,629千元(含媒體政策及業務宣導費106千元)。","12","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2063","房屋建築養護費","用途別二級","2968","(13)房屋建築養護費2,968千元：辦公房屋及經管宿舍養護等。","13","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2066","器具養護費","用途別二級","847","(14)車輛及辦公器具養護費847千元：公務車及辦公器具養護等。","14","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2069","設施及機械設備養護費","用途別二級","10910","(15)設施及機械設備養護費10,910千元：<1>辦公大樓機電、不斷電系統、中央監控、本部暨五城大樓電梯、監視系統、高低壓供電等養護費3,437千元。<2>火警設施、火警圖形顯示控制設施偵煙器件及老舊線路更換、地下室機電熱源排散及通風裝置效能維護等養護費7,473千元。","15","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2072","國內旅費","用途別二級","3925","(16)國內旅費3,925千元：交通動員、災害防救、重大工程督導、施工品質查核等所需旅費。","16","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2084","短程車資","用途別二級","420","(17)短程車資420千元。","17","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","2000","業務費","2093","特別費","用途別二級","1179","(18)特別費1,179千元：依規定標準編列之正副首長特別費。","18","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","3000","設備及投資","","","用途別一級","48997","2.設備及投資48,997千元：(1)機械設備費48,320千元：<1>汰換空調系統冰水主機、空調機房內之冷冰水幫浦、電盤、電表及中央監控設備等39,814千元。<2>汰換不斷電系統暨電池組8,506千元。","19","true","",""
"5829010100","一般行政","930,059","02","基本行政工作維持","3000","設備及投資","3020","機械設備費","用途別二級","48320","2.設備及投資48,997千元：(1)機械設備費48,320千元：<1>汰換空調系統冰水主機、空調機房內之冷冰水幫浦、電盤、電表及中央監控設備等39,814千元。<2>汰換不斷電系統暨電池組8,506千元。","19","true","",""
"5829010100","一般行政","930,059","02","基本行政工作維持","3000","設備及投資","3035","雜項設備費","用途別二級","677","(2)雜項設備費677千元：汰購一般公務用辦公設備等經費。","20","","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","4000","獎補助費","","","用途別一級","681","3.獎補助費681千元：退休(職)人員三節慰問金及早期退休人員生活困難照護金。","21","true","true",""
"5829010100","一般行政","930,059","02","基本行政工作維持","4000","獎補助費","4085","獎勵及慰問","用途別二級","681","3.獎補助費681千元：退休(職)人員三節慰問金及早期退休人員生活困難照護金。","21","true","",""
"5829010100","一般行政","930,059","03","交通統計","","","","","分支計畫","8250","","","","",""
"5829010100","一般行政","930,059","03","交通統計","2000","業務費","","","用途別一級","8150","1.業務費8,150千元：(1)通訊費1,019千元：辦理各項統計調查所需郵電費等。","0","true","",""
"5829010100","一般行政","930,059","03","交通統計","2000","業務費","2009","通訊費","用途別二級","1019","1.業務費8,150千元：(1)通訊費1,019千元：辦理各項統計調查所需郵電費等。","0","true","",""
"5829010100","一般行政","930,059","03","交通統計","2000","業務費","2021","其他業務租金","用途別二級","697","(2)其他業務租金697千元：租用SAS軟體。","1","","true",""
"5829010100","一般行政","930,059","03","交通統計","2000","業務費","2036","按日按件計資酬金","用途別二級","30","(3)按日按件計資酬金30千元：統計業務外聘專家學者出席費等。","2","","true",""
"5829010100","一般行政","930,059","03","交通統計","2000","業務費","2051","物品","用途別二級","187","(4)物品187千元。","3","","true",""
"5829010100","一般行政","930,059","03","交通統計","2000","業務費","2054","一般事務費","用途別二級","6191","(5)一般事務費6,191千元：辦理「汽車貨運調查」、「計程車營運狀況調查」、「遊覽車營運狀況調查」、「運輸及倉儲業受僱員工薪資調查」、「旅運及倉儲業產值調查」及「國內水上及航空貨運流量及運費收入調查」等所需之訪查、講習費、資料登錄、檢誤及處理費、致贈受查單位紀念品、召開統計業務研習會及其他費用等。","4","","true",""
"5829010100","一般行政","930,059","03","交通統計","2000","業務費","2072","國內旅費","用途別二級","26","(6)國內旅費26千元。","5","","true",""
"5829010100","一般行政","930,059","03","交通統計","3000","設備及投資","","","用途別一級","100","2.設備及投資-雜項設備費100千元：購置圖書及期刊等。","6","true","",""
"5829010100","一般行政","930,059","03","交通統計","3000","設備及投資","3035","雜項設備費","用途別二級","100","2.設備及投資-雜項設備費100千元：購置圖書及期刊等。","6","true","",""
"5829010100","一般行政","930,059","04","資訊管理","","","","","分支計畫","85206","","","","",""
"5829010100","一般行政","930,059","04","資訊管理","2000","業務費","","","用途別一級","59485","1.業務費59,485千元：(1)教育訓練費308千元：本部同仁資訊及個資保護教育訓練。","0","true","",""
"5829010100","一般行政","930,059","04","資訊管理","2000","業務費","2003","教育訓練費","用途別二級","308","1.業務費59,485千元：(1)教育訓練費308千元：本部同仁資訊及個資保護教育訓練。","0","true","",""
"5829010100","一般行政","930,059","04","資訊管理","2000","業務費","2009","通訊費","用途別二級","1991","(2)通訊費1,991千元：政府骨幹網路、資料傳輸通道線路、本部及異地備援機房網路數據通訊費等。","1","","true",""
"5829010100","一般行政","930,059","04","資訊管理","2000","業務費","2018","資訊服務費","用途別二級","56748","(3)資訊服務費56,748千元(含資通安全經費11,758千元)：<1>資訊操作維護費45,853千元：電腦軟硬體維護24,917千元、推動本部符合資安驗證、ISMS資安續審及社交工程演練2,108千元、各項資訊系統維護17,848千元、公務電子憑證及機房不斷電系統維護980千元等。<2>資訊設備租金502千元：異地備援機房機櫃及線路租金。<3>軟體使用費10,393千元：資安監控服務(SOC流量監測)、資安檢測服務及防毒系統維運等4,222千元、進階持續性威脅攻擊(APT)防禦系統授權1,659千元、即時監控及資安弱點通報系統授權1,076千元、源碼檢測系統授權1,115千元、網頁資安防護及政府組態基準(GCB)等1,433千元、電子郵件授權等888千元。","2","","true",""
"5829010100","一般行政","930,059","04","資訊管理","2000","業務費","2036","按日按件計資酬金","用途別二級","110","(4)按日按件計資酬金110千元：政府資料開放諮詢小組及採購案評選委員出席費。","3","","true",""
"5829010100","一般行政","930,059","04","資訊管理","2000","業務費","2051","物品","用途別二級","258","(5)物品258千元：電腦作業所需之消耗品及非消耗品。","4","","true",""
"5829010100","一般行政","930,059","04","資訊管理","2000","業務費","2072","國內旅費","用途別二級","70","(6)國內旅費70千元。","5","","true",""
"5829010100","一般行政","930,059","04","資訊管理","3000","設備及投資","","","用途別一級","25721","2.設備及投資-資訊軟硬體設備費25,721千元：(1)資訊硬體設備汰換8,882千元(含資通安全經費3,800千元)：<1>汰換網路安全防護設備3,800千元。<2>汰換個人電腦、筆記型電腦及週邊設備3,200千元。<3>汰換虛擬平台伺服器1,882千元。","6","","",""
