planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,nameMatched,descShared,inferred,headcount,inheritedSub,ambiguous,orphan,multiSum,sumMatched
"5251011200","農業科技研究發展","1,750,265","04","國際農業合作","2000","業務費","2078","國外旅費","用途別二級","3426","(3)派員出席與各國共同召開之農業合作會議與技術合作，重要貿易夥伴國產地鑑別技術開發與應用策略考察等國外旅費3,426千元。","5","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","04","國際農業合作","4000","獎補助費","","","用途別一級","65497","2.獎補助費65,497千元，係補助研究機構、大專院校或相關國際組織等，辦理強化香蕉價值鏈促進國際市場行銷與推廣模式研究，推動APEC農業技術合作工作小組相關農業技術合作之研究，印太及中東歐區域夥伴關係建構策略研究，與國際稻米研究所(IRRI)之研究合作，開發畜禽產品原產地分析技術及機械學習鑑別模型等計畫。","6","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","04","國際農業合作","4000","獎補助費","4030","對特種基金之補助","用途別二級","17685","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","04","國際農業合作","4000","獎補助費","4035","對外之捐助","用途別二級","27837","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","04","國際農業合作","4000","獎補助費","4040","對國內團體之捐助","用途別二級","19975","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","05","農業政策與農民輔導科技發展","","","","","分支計畫","42895","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","05","農業政策與農民輔導科技發展","2000","業務費","","","用途別一級","22995","1.業務費22,995千元，係委託學術研究機構或相關法人等，辦理精實農業統計調查與運用之研究，穩定糧食供應策略研析計畫，農業新情勢結構調整與升級轉型等計畫。","2","true","true","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","05","農業政策與農民輔導科技發展","2000","業務費","2039","委辦費","用途別二級","22995","1.業務費22,995千元，係委託學術研究機構或相關法人等，辦理精實農業統計調查與運用之研究，穩定糧食供應策略研析計畫，農業新情勢結構調整與升級轉型等計畫。","2","","true","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","05","農業政策與農民輔導科技發展","4000","獎補助費","","","用途別一級","19900","2.獎補助費19,900千元，係捐助研究機構或相關法人等，辦理推動農業政策研究能量建構及歐盟農業政策研析，農業國際經貿情勢與諮商策略研究，優化食農教育專業人員在職訓練指引暨專案效益管理等計畫。","3","true","true","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","05","農業政策與農民輔導科技發展","4000","獎補助費","4040","對國內團體之捐助","用途別二級","19900","2.獎補助費19,900千元，係捐助研究機構或相關法人等，辦理推動農業政策研究能量建構及歐盟農業政策研析，農業國際經貿情勢與諮商策略研究，優化食農教育專業人員在職訓練指引暨專案效益管理等計畫。","3","","true","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","06","農業電子化","","","","","分支計畫","236121","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","06","農業電子化","2000","業務費","","","用途別一級","185626","1.業務費185,626千元，係委託學術研究機構或相關法人等，辦理發展農業知識傳遞應用，農業現地行動調查作業管理系統應用，農業資通安全推動服務，農業數位整合服務系統建置等計畫(其中含媒體政策及業務宣導費1,000千元)。","2","true","true","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","06","農業電子化","2000","業務費","2039","委辦費","用途別二級","185626","1.業務費185,626千元，係委託學術研究機構或相關法人等，辦理發展農業知識傳遞應用，農業現地行動調查作業管理系統應用，農業資通安全推動服務，農業數位整合服務系統建置等計畫(其中含媒體政策及業務宣導費1,000千元)。","2","","true","","","","","","",""
