planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,headcount,nameMatched,sumMatched,inheritedSub,orphan,multiSum,inferred,ambiguous
"5120010100","一般行政","1,620,528","02","基本行政工作維持","2000","業務費","2054","一般事務費","用途別二級","96377","9.一般事務費96,377千元，包括：(1)按本部員額編列事務費及按本部僱用之員工人數編列文康活動費等2,658千元。(2)分擔中央聯合辦公大樓管理委員會所需經費8,034千元。(3)分擔科技大樓管理委員會所需經費11,040千元。(4)環境布置費720千元。(5)檔案鑑定審選、公職人員財產申報及會計資料登錄、報稅處理、事務財管、總務出納、部次長室、參事督學室等所需人力經費7,139千元。(6)總機話務、公務車駕駛所需人力經費9,864千元。(7)警衛勤務所需人力經費6,975千元。(8)辦理公文傳遞及資料登錄所需人力經費7,525千元。(9)本部總收發文等作業所需經費10,769千元。(10)本部環境清潔等所需人力經費9,790千元（含本部、忠孝大樓、徐州路大樓、中央聯合辦公大樓南棟及科技大樓等）。(11)本部檔案點收、立案、編目、掃描、整卷、上架、清理（查）、移交（轉）、銷毀、檔案庫房安全管理與設施維護及檔案調還卷作業等所需人力經費18,157千元。(12)本部檔案清理、鑑定及國家檔案審選等作業所需經費380千元。(13)徐州及中和檔案庫房消毒、天然災害之復原及清運、檔案卷夾清潔經費234千元。(14)駐警人員服裝與執勤人員夜點費及協勤單位慰問金658千元。(15)駐警安全維護設備更新經費134千元。(16)國有公用財產管理系統維護及所需人力經費2,300千元。","15","","","true","","true","","","",""
"5120010100","一般行政","1,620,528","02","基本行政工作維持","2000","業務費","2063","房屋建築養護費","用途別二級","2534","10.房屋建築養護費2,534千元，包括：(1)本部辦公房舍面積19,721.28平方公尺：本部聯合辦公大樓面積4,577.34平方公尺、本部忠孝大樓面積2,377.11平方公尺、本部徐州路大樓面積2,133.89平方公尺、無償借用之本部建物面積7,873.2平方公尺、科技大樓辦公房舍面積2,759.74平方公尺，上開辦公房屋均為鋼筋構造，年需1,680千元。(2)本部自有中和檔案庫面積7,425平方公尺、首長宿舍、承德宿舍、合作社等面積1,036.59平方公尺，為鋼筋構造，年需854千元。","31","","","true","","true","","","",""
"5120010100","一般行政","1,620,528","02","基本行政工作維持","2000","業務費","2066","器具養護費","用途別二級","948","11.車輛及辦公器具養護費948千元，包括：(1)車輛養護費463千元，其中：<1>汽車未滿2年3輛，每輛每年9千元，計27千元。<2>汽車滿2年未滿4年1輛，每輛每年26千元，計26千元。<3>汽車滿6年以上者8輛，每輛每年51千元，計408千元。<4>公務用機車1輛，每輛每年2千元，計2千元。(2)辦公器具養護費485千元：按預算員額每人每年1,048元。","33","","","true","","true","","","",""
"5120010100","一般行政","1,620,528","02","基本行政工作維持","2000","業務費","2069","設施及機械設備養護費","用途別二級","9183","12.設施及機械設備養護費9,183千元，包括：(1)本部辦公廳舍（含徐州路大樓）高壓、發電機、空調、電梯、給排水及機電設備維護費6,963千元。(2)本部徐州、中和檔案庫房空調、消防設備保養維護費、庫房耐震補強先期規劃設計2,220千元。","35","","","true","","true","","","",""
"5120010100","一般行政","1,620,528","02","基本行政工作維持","2000","業務費","2072","國內旅費","用途別二級","1843","13.國內旅費1,843千元。","37","","","true","","","","","",""
"5120010100","一般行政","1,620,528","02","基本行政工作維持","2000","業務費","2081","運費","用途別二級","150","14.運費150千元，係公物搬運費。","38","","","true","","","","","",""
"5120010100","一般行政","1,620,528","02","基本行政工作維持","2000","業務費","2093","特別費","用途別二級","1179","15.特別費1,179千元，係依規定標準編列之正、副首長特別費。","39","","","true","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","","","","","分支計畫","532659","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","","","","","未歸戶說明","","2.依本部獎補助所屬機關（構）學校檔案管理經費使用要點，針對考評成效優良、榮獲金檔獎或積極改善檔案管理之機關（構）學校辦理獎勵及補助，以充實所屬機關（構）學校檔案相關軟硬體設備及促進檔案管理制度化與標準化等所需經費1,427千元（秘書處）。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","","","","","未歸戶說明","","3.辦理廉政教育、社會參與及研習活動、預防措施、機關公務機密與安全維護及所需人力等經費1,757千元（政風處）。","","","","","","","true","","",""
