planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,headcount,descIdx,nameMatched,multiSum,descShared,inferred,ambiguous,orphan,inheritedSub,comboMatched
"3203100100","一般行政","970,247","03","政府內部控制監督機制規劃及督導","2000","業務費","2003","教育訓練費","用途別二級","30","1.同仁赴各公私立訓練機構進修相關課程所需費用30千元。","","1","","","","","","","",""
"3203100100","一般行政","970,247","03","政府內部控制監督機制規劃及督導","2000","業務費","2009","通訊費","用途別二級","133","2.辦理政府內部控制監督機制規劃及督導業務聯繫用電話及郵資等133千元。","","2","","","","","","","",""
"3203100100","一般行政","970,247","03","政府內部控制監督機制規劃及督導","2000","業務費","2021","其他業務租金","用途別二級","100","3.辦理政府內部控制監督機制規劃及督導業務所需影印機租金100千元。","","3","","","","","","","",""
"3203100100","一般行政","970,247","03","政府內部控制監督機制規劃及督導","2000","業務費","2036","按日按件計資酬金","用途別二級","421","","","","","","","","","","",""
"3203100100","一般行政","970,247","03","政府內部控制監督機制規劃及督導","2000","業務費","2045","國內組織會費","用途別二級","12","4.參加國內專業組織或學術團體之會費12千元。","","4","","","","","","","",""
"3203100100","一般行政","970,247","03","政府內部控制監督機制規劃及督導","2000","業務費","2051","物品","用途別二級","131","5.辦理政府內部控制監督機制規劃及督導業務所需書刊、紙張、物品及耗材等131千元。","","5","true","","","","","","",""
"3203100100","一般行政","970,247","03","政府內部控制監督機制規劃及督導","2000","業務費","2054","一般事務費","用途別二級","1177","6.辦理政府內部控制監督作業及內部控制聲明書簽署作業等研習、資料登錄及文書處理作業與相關雜支等977千元。","","6","","","","false","true","","",""
"3203100100","一般行政","970,247","03","政府內部控制監督機制規劃及督導","2000","業務費","2072","國內旅費","用途別二級","16","7.辦理政府內部控制監督機制規劃及督導業務所需國內旅費16千元。","","7","true","","","","","","",""
"3203100100","一般行政","970,247","03","政府內部控制監督機制規劃及督導","2000","業務費","2078","國外旅費","用途別二級","260","8.派員出席OECD資深預算官員委員會績效及成果會議所需國外旅費260千元。","","8","true","","","","","","",""
"3203100100","一般行政","970,247","03","政府內部控制監督機制規劃及督導","2000","業務費","2084","短程車資","用途別二級","10","9.洽公短程車資10千元。","","9","true","","","","","","",""
"3203100100","一般行政","970,247","03","政府內部控制監督機制規劃及督導","","","","","未歸戶說明","","10.辦理主計業務創新變革精進評審及獎勵等621千元。","","","","","","","","true","",""
"3203101000","中央總預算核編及執行","5,314","01","中央總預算之核編與執行","","","","","分支計畫","4686","","","","","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","01","中央總預算之核編與執行","2000","業務費","","","用途別一級","4686","本分支計畫為辦理中央政府總預算之審議與編印、預算制度之研究改進及派員實地查核各公務機關預算執行等工作，計編列業務費4,686千元，內容如下：","","0","true","","true","","","","",""
"3203101000","中央總預算核編及執行","5,314","01","中央總預算之核編與執行","2000","業務費","2003","教育訓練費","用途別二級","30","1.同仁赴各公私立學校修習學位、學分或研究等所需費用30千元。","","1","","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","01","中央總預算之核編與執行","2000","業務費","2009","通訊費","用途別二級","332","2.公務聯繫用電話費及郵資332千元。","","2","","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","01","中央總預算之核編與執行","2000","業務費","2021","其他業務租金","用途別二級","291","3.公務所需影印機租金291千元。","","3","","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","01","中央總預算之核編與執行","2000","業務費","2036","按日按件計資酬金","用途別二級","65","4.辦理預算編製與執行相關法令研習課程等計65千元，內容如下：(1)出席費15千元。(2)講座鐘點費50千元。","","4","","","","","","","true",""
"3203101000","中央總預算核編及執行","5,314","01","中央總預算之核編與執行","2000","業務費","2051","物品","用途別二級","354","5.辦理總預算核編與查核各公務機關預算執行所需紙張、電腦耗材、碳粉匣、文具、表件、報告及購置相關圖書等計354千元，內容如下：(1)消耗品314千元。(2)非消耗品40千元。","","6","","","","","","","true",""
"3203101000","中央總預算核編及執行","5,314","01","中央總預算之核編與執行","2000","業務費","2054","一般事務費","用途別二級","3020","6.編印總預算編製作業手冊、中央政府總預算案總說明及主要附表、歲入來源別歲出政事別預算表及參考表、歲出機關別預算表、外交國防機密歲出政事別機關別預算表及相關參考表、中央政府總預算案審查總報告、中央政府總預算歲入來源別歲出政事別預算表及參考表、歲出機關別預算表、外交國防機密歲出政事別機關別預算表及相關參考表等，以及預算執行作業手冊與第二預備金動支數額表等2,695千元；其他有關辦理總預算核編所需各項雜支等計325千元，合計3,020千元。","","8","","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","01","中央總預算之核編與執行","2000","業務費","2066","器具養護費","用途別二級","13","7.公務用電腦及其週邊設備維修等辦公器具養護費13千元。","","9","true","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","01","中央總預算之核編與執行","2000","業務費","2072","國內旅費","用途別二級","75","8.核編中央政府總預算及派員查核各公務機關預算執行情形等所需出差旅費75千元。","","10","","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","01","中央總預算之核編與執行","2000","業務費","2078","國外旅費","用途別二級","461","9.派員出席2026年OECD資深預算官員委員會年度會議及亞洲資深預算官員會議所需國外旅費461千元。","","11","true","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","01","中央總預算之核編與執行","2000","業務費","2084","短程車資","用途別二級","45","10.洽公短程車資45千元。","","12","true","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","02","地方政府主計業務之督導與查核","","","","","分支計畫","628","","","","","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","02","地方政府主計業務之督導與查核","2000","業務費","","","用途別一級","628","本分支計畫為督導地方預算編製及執行業務暨預算資料蒐集與分析、辦理地方災害防救經費之協助相關業務、辦理地方公務預算編製作業人員專業研習等業務，計編列業務費628千元，內容如下：","","0","true","","true","","","","",""
"3203101000","中央總預算核編及執行","5,314","02","地方政府主計業務之督導與查核","2000","業務費","2003","教育訓練費","用途別二級","50","1.同仁赴各公私立訓練機構研習相關課程所需費用50千元。","","1","","","","true","","","",""
"3203101000","中央總預算核編及執行","5,314","02","地方政府主計業務之督導與查核","2000","業務費","2009","通訊費","用途別二級","60","2.與地方政府公務業務聯繫用電話費及郵資等60千元。","","2","","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","02","地方政府主計業務之督導與查核","2000","業務費","2021","其他業務租金","用途別二級","70","3.公務所需影印機租金70千元。","","3","","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","02","地方政府主計業務之督導與查核","2000","業務費","2051","物品","用途別二級","50","4.辦理地方政府主計相關業務之督導與查核所需紙張、文具、表件等50千元，內容如下：(1)消耗品40千元。(2)非消耗品10千元。","","","","","","true","","","",""
"3203101000","中央總預算核編及執行","5,314","02","地方政府主計業務之督導與查核","2000","業務費","2054","一般事務費","用途別二級","212","5.訂修直轄市、縣（市）地方總預算編製、單位預算執行規範等業務所需之印刷、雜支等212千元。","","6","","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","02","地方政府主計業務之督導與查核","2000","業務費","2066","器具養護費","用途別二級","2","6.辦公用機具及設施等所需養護費7千元。","","","","","true","","true","","",""
"3203101000","中央總預算核編及執行","5,314","02","地方政府主計業務之督導與查核","2000","業務費","2069","設施及機械設備養護費","用途別二級","5","6.辦公用機具及設施等所需養護費7千元。","","","","","true","","true","","",""
"3203101000","中央總預算核編及執行","5,314","02","地方政府主計業務之督導與查核","2000","業務費","2072","國內旅費","用途別二級","176","7.派員赴直轄市、縣（市）政府實地考核其預算編列與執行情形及辦理地方災害復建之現勘等業務所需差旅費176千元。","","8","","","","","","","",""
"3203101000","中央總預算核編及執行","5,314","02","地方政府主計業務之督導與查核","2000","業務費","2084","短程車資","用途別二級","3","8.洽公短程車資3千元。","","9","true","","","","","","",""
"3203101100","特種基金預算核編及執行","2,749","01","特種基金預算核編及執行","","","","","分支計畫","2749","","","","","","","","","","",""
"3203101100","特種基金預算核編及執行","2,749","01","特種基金預算核編及執行","2000","業務費","","","用途別一級","2749","本分支計畫為辦理特種基金預算之籌編、編印與執行經費，計編列業務費2,749千元，內容如下：","","0","true","","true","","","","",""
"3203101100","特種基金預算核編及執行","2,749","01","特種基金預算核編及執行","2000","業務費","2003","教育訓練費","用途別二級","10","1.同仁赴國內公私立各級學校修習學位、學分等相關費用之補助10千元。","","1","","","","true","","","",""
"3203101100","特種基金預算核編及執行","2,749","01","特種基金預算核編及執行","2000","業務費","2009","通訊費","用途別二級","230","2.公務聯繫用電話費及郵資230千元。","","2","","","","","","","",""
"3203101100","特種基金預算核編及執行","2,749","01","特種基金預算核編及執行","2000","業務費","2021","其他業務租金","用途別二級","500","3.公務所需影印機租金500千元。","","3","","","","","","","",""
"3203101100","特種基金預算核編及執行","2,749","01","特種基金預算核編及執行","2000","業務費","2036","按日按件計資酬金","用途別二級","10","4.辦理預算編製與執行相關法令研習等課程所需授課鐘點費10千元。","","4","","","","true","","","",""
"3203101100","特種基金預算核編及執行","2,749","01","特種基金預算核編及執行","2000","業務費","2051","物品","用途別二級","422","5.物品422千元，內容如下：(1)文具、紙張、碳粉匣、相關法令書刊、圖書260千元。(2)購置公文櫃、資料櫃及計算機等162千元。","","5","true","","","","","","true",""
"3203101100","特種基金預算核編及執行","2,749","01","特種基金預算核編及執行","2000","業務費","2054","一般事務費","用途別二級","1271","6.印製中央政府總預算案附屬單位預算及綜計表、總預算附屬單位預算編製作業手冊、附屬單位預算執行作業手冊、中央政府總預算附屬單位預算及綜計表（審定表）、特種基金審查與簡報等有關資料1,271千元。","","7","","","","","","","",""
"3203101100","特種基金預算核編及執行","2,749","01","特種基金預算核編及執行","2000","業務費","2066","器具養護費","用途別二級","4","7.公務用電腦及其週邊設備等辦公器具養護費等10千元。","","","","","true","","true","","",""
"3203101100","特種基金預算核編及執行","2,749","01","特種基金預算核編及執行","2000","業務費","2069","設施及機械設備養護費","用途別二級","6","7.公務用電腦及其週邊設備等辦公器具養護費等10千元。","","","","","true","","true","","",""
"3203101100","特種基金預算核編及執行","2,749","01","特種基金預算核編及執行","2000","業務費","2072","國內旅費","用途別二級","14","8.派員抽查及實地瞭解特種基金業務差旅費14千元。","","9","","","","","","","",""
"3203101100","特種基金預算核編及執行","2,749","01","特種基金預算核編及執行","2000","業務費","2078","國外旅費","用途別二級","272","9.派員出席OECD綠色預算之巴黎合作會議所需國外旅費272千元。","","10","true","","","","","","",""
"3203101100","特種基金預算核編及執行","2,749","01","特種基金預算核編及執行","2000","業務費","2084","短程車資","用途別二級","10","10.洽公短程車資10千元。","","11","true","","","","","","",""
"3203101200","會計及決算業務","3,172","01","會計事務處理及決算核編","","","","","分支計畫","3172","","","","","","","","","","",""
"3203101200","會計及決算業務","3,172","01","會計事務處理及決算核編","2000","業務費","","","用途別一級","3172","本分支計畫為審核各機關會計報告等會計事務之處理，核編114年度中央政府總決算暨附屬單位決算及綜計表，加強督導考核中央政府各機關及各特種基金會計制度之實施狀況，研修政府會計相關規制及加強政府會計理論與實務之研究，計編列業務費3,172千元，內容如下：","","0","true","","true","","","","",""
"3203101200","會計及決算業務","3,172","01","會計事務處理及決算核編","2000","業務費","2009","通訊費","用途別二級","207","1.業務聯繫用電話費及郵資等費用207千元。","","1","","","","","","","",""
